Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
179782672,Dreadful,Caitlin Rozakis,"Rozakis, Caitlin",,"=""180336548X""","=""9781803365480""",0,3.69,Titan Books,Kindle Edition,368,2024,2024,,2024/06/17,to-read,to-read (#228),to-read,,,,0,0
65007133,City of Last Chances (The Tyrant Philosophers #1),Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1801108455""","=""""",0,3.95,Head of Zeus -- an AdAstra Book,Kindle Edition,545,2022,2022,,2024/06/17,to-read,to-read (#227),to-read,,,,0,0
198112189,The Stardust Grail,Yume Kitasei,"Kitasei, Yume",,"=""""","=""""",0,3.69,Flatiron Books,Kindle Edition,313,2024,2024,,2024/06/17,to-read,to-read (#226),to-read,,,,0,0
52382796,"Shōgun (Asian Saga, #1)",James Clavell,"Clavell, James",,"=""1982603844""","=""9781982603847""",0,4.41,Blackstone Publishing,Paperback,1152,2020,1975,,2024/06/17,to-read,to-read (#225),to-read,,,,0,0
28110891,Atlas Obscura: An Explorer's Guide to the World's Hidden Wonders,Joshua Foer,"Foer, Joshua","Dylan Thuras, Ella Morton","=""0761169083""","=""9780761169086""",0,4.25,Workman Publishing Company,Hardcover,470,2016,2016,,2024/06/11,"to-read, nyc-collection","to-read (#224), nyc-collection (#185)",to-read,,,,0,0
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",5,4.53,Del Rey,Hardcover,525,2016,2016,2024/06/10,2024/05/27,,,read,,,,1,0
9532,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0765342405""","=""9780765342409""",0,4.32,Starscape,Paperback,469,2002,1999,2018/01/01,2024/06/10,,,read,,,,1,0
40940649,I Am Legend,Richard Matheson,"Matheson, Richard",,"=""0795315635""","=""9780795315633""",0,4.05, RosettaBooks ,Kindle Edition,162,2011,1954,,2024/06/10,to-read,to-read (#223),to-read,,,,0,0
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812550757""","=""9780812550757""",0,4.10,Tor Books,Paperback,382,1994,1986,2018/01/01,2024/06/10,,,read,,,,1,0
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""015603008X""","=""9780156030083""",0,4.22,Harvest Books,Mass Market Paperback,311,2004,1966,2018/01/01,2024/06/10,,,read,,,,1,0
